ACC00002,2023-07-11,03:37,dining,103.32,fast food
ACC00002,2023-06-24,03:35,transport,175.84,fuel
ACC00003,2023-03-23,09:08,utilities,53.79,water
ACC00004,2023-11-10,09:33,groceries,265.53,milk
ACC00005,2023-03-07,15:52,utilities,171.78,water
ACC00003,2023-01-29,05:54,entertainment,197.2,concert
ACC00008,2023-07-23,04:11,entertainment,195.36,sports event
ACC00005,2023-12-08,15:16,transport,216.13,fuel
ACC00008,2023-03-16,10:04,groceries,263.57,snacks
ACC00005,2023-06-21,12:45,rent,78.71,monthly rent
ACC00007,2023-08-28,10:38,dining,318.48,snacks
ACC00001,2023-12-27,03:07,entertainment,329.08,movie
ACC00006,2023-09-20,11:34,entertainment,171.54,sports event
ACC00003,2023-06-18,02:50,entertainment,147.62,sports event
ACC00006,2023-04-20,04:09,transport,483.77,fuel
ACC00008,2023-08-12,21:00,utilities,336.18,gas
ACC00001,2023-08-18,11:07,groceries,318.73,milk
ACC00003,2023-07-23,09:25,utilities,192.24,water
ACC00001,2023-05-31,01:58,dining,217.31,snacks
ACC00004,2023-01-31,14:51,utilities,483.18,phone bill
ACC00008,2023-06-24,00:14,transport,335.56,fuel
ACC00003,2023-06-03,14:13,groceries,388.78,snacks
ACC00005,2023-09-25,13:53,transport,218.94,fuel
ACC00003,2023-07-29,08:36,groceries,189.08,vegetables
ACC00002,2023-08-10,09:28,transport,149.1,bus fare
ACC00005,2023-03-16,11:33,transport,184.67,train ticket
ACC00002,2023-06-19,23:42,entertainment,422.86,movie
ACC00006,2023-07-20,21:32,transport,175.38,train ticket
ACC00007,2023-08-22,13:57,groceries,181.12,bread
ACC00008,2023-02-09,21:43,dining,61.68,snacks
ACC00005,2023-12-09,00:34,groceries,364.89,meat
ACC00004,2023-10-05,04:51,entertainment,203.12,museum
ACC00002,2023-11-13,02:45,dining,75.4,snacks
ACC00006,2023-12-24,23:15,groceries,390.41,bread
ACC00008,2023-07-16,05:02,entertainment,253.45,concert
ACC00001,2023-12-02,07:13,transport,305.41,train ticket
ACC00003,2023-04-17,16:22,entertainment,498.96,museum
ACC00002,2023-05-21,12:26,rent,322.87,monthly rent
ACC00008,2023-03-01,17:46,groceries,462.81,snacks
ACC00002,2023-01-15,01:10,entertainment,457.61,sports event
ACC00004,2023-11-03,23:33,transport,376.3,fuel
ACC00003,2023-11-14,13:22,rent,367.14,monthly rent
ACC00005,2023-09-25,21:12,dining,434.48,snacks
ACC00001,2023-07-26,14:26,transport,131.57,fuel
ACC00005,2023-06-10,00:08,groceries,175.7,meat
ACC00008,2023-09-21,15:31,entertainment,471.67,museum
ACC00006,2023-06-02,15:20,rent,257.73,monthly rent
ACC00003,2023-02-26,01:13,transport,315.93,fuel
ACC00002,2023-03-15,20:46,groceries,466.74,snacks
